1,0.670252,1.94587,533
0,1.73888,1.99991,547
1,1.11973,1.97512,548
1,1.65856,1.9836,533
0,1.38775,1.96674,557
1,1.48837,1.99228,529
1,100,-nan,517
0,0.0131225,1.771,19
0,0.00671384,1.79648,28
0,0.000824171,1.80686,23
0,0.990628,1.99666,548
1,0.500005,1.99578,545
1,0.877818,1.93891,524
0,0.00845502,1.82878,28
1,100,-nan,515
1,0.376469,1.95485,516
0,0.63344,1.9861,553
1,0.914216,1.96792,541
0,0.0740262,1.97908,545
0,0.0348758,1.68583,12
1,0.830939,1.99017,519
0,0.307437,1.97281,551
1,0.915288,1.99894,541
1,1.20211,1.99211,515
0,1.12584,1.99379,547
1,2,2,508
0,0.49899,1.99427,544
1,1.59532,1.98478,532
1,0.0445683,1.90753,542
1,100,-nan,513
1,0.500063,1.92905,504
1,0.447797,1.96606,530
0,1.65524,1.99968,544
0,0.0100723,1.77378,25
1,1.49797,1.9911,539
1,100,-nan,502
1,100,-nan,508
1,100,-nan,509
1,0.484671,1.80852,533
1,0.711168,1.89655,547
1,100,-nan,509
1,0.500037,1.92299,515
1,100,-nan,518
1,1.04423,1.99274,521
0,0.00917825,1.90232,50
1,1.2335,1.99785,535
1,100,-nan,503
0,2,2,543
0,0.914216,1.98564,551
0,1.74024,1.99997,545
1,0.865348,1.99504,519
0,0.00873695,1.84643,115
1,0.705794,1.92012,526
1,0.49418,1.94607,529
1,0.500236,1.99589,539
1,0.51013,1.86253,520
1,100,-nan,512
1,1.67398,1.99944,515
0,0.500347,1.99497,544
1,2,2,521
0,0.0456184,1.59211,7
1,0.884974,1.97495,520
1,0.914333,1.99888,539
0,0.024811,1.79293,46
1,0.0797977,1.93417,520
1,100,-nan,516
0,0.0164136,1.88501,44
0,1.0958,1.99446,550
0,1.16639,1.99754,549
1,0.479166,1.97575,522
1,1.39928,1.99811,538
0,0.0185421,1.77136,18
0,0.0970332,1.96203,551
0,1.7442,1.99033,550
1,0.296238,1.98551,543
0,1.44687,1.99895,547
1,100,-nan,507
1,0.717555,1.89868,520
1,100,-nan,519
0,2,2,545
1,0.517047,1.89134,550
0,0.862708,1.97502,552
1,0.369995,1.95642,529
0,1.28745,1.99823,543
1,0.926672,1.92739,539
0,0.021459,1.89903,63
0,0.910476,1.89321,557
1,0.732371,1.97718,551
1,2,2,551
0,0.98345,1.92979,551
0,0.109567,1.97638,544
0,0.0422133,1.79025,19
1,2,2,524
0,0.91094,1.89275,554
0,0.0085488,1.60884,9
0,0.0209727,1.57292,6
1,0.70141,1.89492,520
1,0.243232,1.94591,537
1,0.914546,1.98135,507
1,100,-nan,504
1,100,-nan,534
1,100,-nan,512
1,0.294283,1.83785,539
1,100,-nan,510
1,1.64795,1.99785,509
0,1.50235,1.99985,553
0,0.0178971,1.75935,20
1,1.27277,1.99747,529
0,0.914708,1.9942,550
1,2,2,512
0,1.74047,1.99988,547
0,1.77987,1.99466,567
0,0.838352,1.9829,549
1,100,-nan,501
1,100,-nan,518
1,0.519901,1.9057,519
0,0.207784,1.90678,560
0,0.108145,1.86692,556
0,0.0184816,1.71012,54
1,100,-nan,518
0,0.0113989,1.80832,59
0,0.00415416,1.74584,44
0,1.52469,1.99916,546
1,100,-nan,513
1,0.500406,1.99286,527
1,100,-nan,517
0,0.0715277,1.9346,553
0,0.096357,1.94644,555
0,1.59127,1.99941,546
1,1.24558,1.96209,526
1,0.442144,1.97668,531
1,100,-nan,512
1,100,-nan,504
1,0.50055,1.89864,546
0,0.000271515,1.73053,35
0,2,2,544
0,0.500014,1.88781,557
0,0.86352,1.9747,550
1,1.75873,1.99839,522
0,0.712762,1.99219,563
0,1.37256,1.96999,564
1,1.77384,1.99863,531
1,100,-nan,505
1,2,2,504
0,1.71164,1.98759,553
1,2,2,505
0,0.0156752,1.77716,20
1,0.165983,1.94715,552
1,1.49554,1.99878,543
1,100,-nan,509
1,2,2,525
0,1.50052,1.99987,546
0,2,2,544
1,0.798334,1.8843,514
1,1.67009,1.98113,524
1,0.24748,1.90126,535
1,100,-nan,510
1,100,-nan,502
1,0.597141,1.93947,516
1,100,-nan,504
0,1.26895,1.99832,541
1,2,2,525
0,0.0245738,1.80563,37
0,1.7361,1.99984,541
1,100,-nan,516
1,0.301523,1.86622,534
1,2,2,509
0,0.0031445,1.56756,24
1,2,2,514
0,0.582958,1.94707,555
1,100,-nan,513
0,0.0415748,1.79396,18
0,0.00133645,1.79482,62
1,100,-nan,514
1,0.375838,1.97339,522
1,100,-nan,505
1,0.500459,1.90338,540
0,1.77576,1.9904,557
1,1.82128,1.99673,531
1,2,2,510
1,1.63352,1.99378,514
0,1.50076,1.99976,546
0,1.0346,1.99002,550
0,0.0450126,1.59666,6
0,0.0373925,1.89243,40
1,0.908068,1.90537,543
1,100,-nan,512
0,2,2,546
1,100,-nan,503
0,1.41312,1.99274,550
1,0.290892,1.82895,519
0,0.914221,1.99386,543
1,0.917734,1.9956,535
0,1.23706,1.99714,544
1,1.73663,1.99988,521
1,0.50005,1.96396,533
1,100,-nan,517
1,100,-nan,502
1,0.220389,1.95681,530
1,2,2,508
